session,dataset,role,n_images
20260521_152801_NSBEJY,face10k_v3,train,3
20260521_163448_AGANSF,face10k_v3,train,5
20260521_170223_WCTDXH,face10k_v3,train,2
20260521_175402_ULCWCG,face10k_v3,train,14
20260521_185305_GFSJNG,face10k_v3,train,14
20260521_201358_DJDFYZ,face10k_v3,train,5
20260522_001407_NSGMGX,face10k_v3,train,1
20260522_005327_GHBFJU,face10k_v3,train,2
20260522_012517_CLDURR,face10k_v3,train,5
20260522_021136_QTGFDZ,face10k_v3,train,2
20260522_021806_BJLJWT,face10k_v3,train,1
20260522_044101_GDARSP,face10k_v3,train,1
20260522_045210_AXAJMP,face10k_v3,train,2
20260522_050911_SRJGBD,face10k_v3,train,1
20260522_062257_EEDHHF,face10k_v3,train,1
20260522_081122_EPGBED,face10k_v3,train,1
20260522_093025_FNWPBE,face10k_v3,train,15
20260522_133154_BAZDGE,face10k_v3,train,1
20260522_135803_HEMYBG,face10k_v3,train,1
20260522_154241_QLALHJ,face10k_v3,train,3
20260525_065758_QKZFNR,face10k_v3,train,6
20260527_055549_GSBGLX,face10k_v3,train,1
20260528_031947_LFLBFH,face10k_v3,train,1
20260528_065008_XYDVJB,face10k_v3,train,2
20260528_075752_MWMNNU,face10k_v3,train,1
20260602_064056_ARGCQH,face10k_v3,train,58
20260602_064439_DYATDT,face10k_v3,train,14
20260602_103334_PJRJZZ,face10k_v3,train,60
20260606_062553_PAEMJZ,face10k_v3,train,1
20260606_075807_TEKNFQ,face10k_v3,train,1
20260606_110035_RCTKYB,face10k_v3,train,1
20260606_111236_TSCNJG,face10k_v3,train,1
20260606_125216_DQLNZT,face10k_v3,train,3
20260608_003107_BHGQEF,face10k_v3,train,2
20260608_012036_XHFRKK,face10k_v3,train,20
20260608_020405_NSLUWW,face10k_v3,train,36
20260608_021305_EUQNHN,face10k_v3,train,15
20260608_022002_EBMTAG,face10k_v3,train,56
20260608_022059_CEXBPC,face10k_v3,train,58
20260608_022839_DLKPVV,face10k_v3,train,60
20260608_023117_RSXDZB,face10k_v3,train,60
20260608_023118_LVYTVV,face10k_v3,train,60
20260608_023743_AATKXW,face10k_v3,train,60
20260608_023935_JXDTYH,face10k_v3,train,60
20260608_024556_QDRUMH,face10k_v3,train,60
20260608_025317_LPSQGW,face10k_v3,train,1
20260608_025940_PBKDCP,face10k_v3,train,8
20260608_043747_VMESWR,face10k_v3,train,13
20260608_045050_RLUMGR,face10k_v3,train,2
20260608_062132_ULUYCS,face10k_v3,train,60
20260608_062138_BTXCYQ,face10k_v3,train,60
20260608_062140_BXDPFP,face10k_v3,train,1
20260608_062421_CGBUGT,face10k_v3,train,17
20260608_064141_BTVEVQ,face10k_v3,train,20
20260608_064322_LCWCER,face10k_v3,train,46
20260608_064647_RDTKPX,face10k_v3,train,3
20260608_072610_FPZRLA,face10k_v3,train,2
20260608_105042_BRGUQB,face10k_v3,train,1
20260608_110750_XTJCJW,face10k_v3,train,1
20260609_004045_HYFTJW,face10k_v3,train,60
20260609_004731_EQQSNP,face10k_v3,train,60
20260609_005043_LBWGKF,face10k_v3,train,60
20260609_005535_FNLJAQ,face10k_v3,train,60
20260609_060838_YXUWEV,face10k_v3,train,60
20260609_061125_GXFBQE,face10k_v3,train,58
20260609_062513_KJQSMR,face10k_v3,train,60
20260609_063211_EYSLTJ,face10k_v3,train,59
20260609_065530_YWVRTS,face10k_v3,train,36
20260609_072345_UKDGFV,face10k_v3,train,60
20260609_075714_RXRRPW,face10k_v3,train,60
20260610_003340_BUVVVF,face10k_v3,train,60
20260610_004020_LDNMGZ,face10k_v3,train,60
20260610_004547_QETYRW,face10k_v3,train,60
20260610_004914_WATCZX,face10k_v3,train,60
20260610_021818_MWWSDE,face10k_v3,train,6
20260610_060315_HGDRET,face10k_v3,train,56
20260610_062329_ELPKNG,face10k_v3,train,48
20260610_063017_AESVFP,face10k_v3,train,60
20260610_063159_NPRFYX,face10k_v3,train,60
20260611_002611_SJEGEZ,face10k_v3,train,60
20260611_003005_AXDFGK,face10k_v3,train,60
20260611_003523_ZAKMLA,face10k_v3,train,53
20260611_004008_QKDTLS,face10k_v3,train,10
20260611_060048_SADBRB,face10k_v3,train,60
20260611_061214_XDZUEV,face10k_v3,train,15
20260611_061700_EEQTTZ,face10k_v3,train,60
20260612_002505_YRERNE,face10k_v3,train,13
20260612_002614_YRRWDM,face10k_v3,train,60
20260612_002632_TQUHZU,face10k_v3,train,60
20260612_003140_PNNBRC,face10k_v3,train,60
20260612_013518_KWZVFZ,face10k_v3,train,49
20260612_013541_KTCFHT,face10k_v3,train,60
20260612_014235_TBDNAB,face10k_v3,train,60
20260612_023323_XUZPMW,face10k_v3,train,11
20260612_032247_PZJKQJ,face10k_v3,train,1
20260612_054306_KSFNBV,face10k_v3,train,1
20260612_055219_KFEMEW,face10k_v3,train,60
20260612_060422_KSAVCV,face10k_v3,train,60
20260612_071347_KZSRYW,face10k_v3,train,2
20260612_103340_HWMTHE,face10k_v3,train,1
20260613_001729_MYWMWD,face10k_v3,train,2
20260613_005657_ZJLELZ,face10k_v3,train,59
20260613_032156_SYZXHQ,face10k_v3,train,11
20260613_051742_WYFBYJ,face10k_v3,train,47
20260613_054137_TNZVHD,face10k_v3,train,59
20260613_075732_YGUACP,face10k_v3,train,27
20260613_075908_WPUEVJ,face10k_v3,train,56
20260613_080728_AMBWSK,face10k_v3,train,1
20260613_102153_PXPTMQ,face10k_v3,train,2
20260614_003423_YTSAQN,face10k_v3,train,1
20260614_005900_XSEHGU,face10k_v3,train,20
20260614_010015_BDYFLG,face10k_v3,train,32
20260614_011320_MQFUQW,face10k_v3,train,17
20260614_020644_VEPLCU,face10k_v3,train,21
20260614_054921_MRWKLT,face10k_v3,train,4
20260614_061039_ZHRCYU,face10k_v3,train,9
20260614_063532_FSLLST,face10k_v3,train,4
20260615_003932_DGCDPB,face10k_v3,train,2
20260615_013251_DFVBKQ,face10k_v3,train,1
20260615_060714_ZBKYJJ,face10k_v3,train,2
20260615_061425_PPEPZP,face10k_v3,train,7
20260616_004006_VXCRVP,face10k_v3,train,6
20260616_004639_AKZMLM,face10k_v3,train,9
20260616_014418_TPRQFT,face10k_v3,train,47
20260616_053413_AWBAXL,face10k_v3,train,44
20260616_063722_JZQPKD,face10k_v3,train,17
20260616_073821_GCBAZJ,face10k_v3,train,60
20260617_001732_MMHXQD,face10k_v3,train,2
20260617_003448_TVUTDR,face10k_v3,train,11
20260617_004724_RBYPFR,face10k_v3,train,58
20260617_030814_UBCJLS,face10k_v3,train,7
20260617_031306_XUCVYQ,face10k_v3,train,16
20260617_031624_FAMPYG,face10k_v3,train,3
20260617_104756_YJXVCC,face10k_v3,train,60
20260618_003254_PAFFUV,face10k_v3,train,16
20260618_051911_FPDWLE,face10k_v3,train,21
20260618_053612_WDLNWX,face10k_v3,train,40
20260618_054015_NSMNUU,face10k_v3,train,60
20260618_094420_CGJPUS,face10k_v3,train,13
20260619_004840_FJYEMG,face10k_v3,train,2
20260620_000635_JCHLNF,face10k_v3,train,1
20260622_004450_RBUSKS,face10k_v3,train,60
20260622_055342_PGBRSV,face10k_v3,train,55
20260622_060442_NMNZKU,face10k_v3,train,24
20260623_003154_NPYWPR,face10k_v3,train,17
20260623_010339_SRBUHD,face10k_v3,train,33
20260626_015444_RDDUVH,face10k_v3,train,3
20260627_005845_YXPLNA,face10k_v3,train,10
20260627_015355_MJHRBQ,face10k_v3,train,2
20260627_024515_DRYKPJ,face10k_v3,train,60
20260627_031035_YUJDAN,face10k_v3,train,1
20260627_033421_PJVQAQ,face10k_v3,train,60
20260627_050455_BDYTTQ,face10k_v3,train,2
20260627_055631_AFWPBM,face10k_v3,train,2
20260627_071029_AGNZJU,face10k_v3,train,1
20260627_093104_XXGYPP,face10k_v3,train,2
20260627_093144_ZNPPTL,face10k_v3,train,4
20260628_031536_YBNVVE,face10k_v3,train,4
20260628_050006_PRWJFJ,face10k_v3,train,4
20260628_050026_GVSRLJ,face10k_v3,train,4
20260628_071121_LPGYSG,face10k_v3,train,3
20260628_071310_BNXSGL,face10k_v3,train,2
20260628_080432_LRKACH,face10k_v3,train,5
20260629_010026_UNBVMK,face10k_v3,train,54
20260629_010538_XGPVWZ,face10k_v3,train,5
20260629_021120_KNVJLQ,face10k_v3,train,1
20260630_021229_SPVZYW,face10k_v3,train,2
20260701_003116_NZNGJB,face10k_v3,train,7
20260701_004908_NPTFXH,face10k_v3,train,3
20260701_021348_DZQWUF,face10k_v3,train,5
20260701_050223_HUTQBN,face10k_v3,train,8
20260702_003134_BQRJZV,face10k_v3,train,6
20260702_021120_NQJRUU,face10k_v3,train,41
20260702_040939_GAZQXH,face10k_v3,train,1
20260703_001650_DMSMHR,face10k_v3,train,4
20260703_013805_SDYMWL,face10k_v3,train,10
20260703_022851_SSSBCQ,face10k_v3,train,1
20260703_055621_BESYZY,face10k_v3,train,2
20260704_001951_QBZVKB,face10k_v3,train,1
20260704_063524_DYGUEZ,face10k_v3,train,1
20260704_103334_EZXACC,face10k_v3,train,1
20260704_104155_DVQCQT,face10k_v3,train,1
20260704_104259_PRRHZP,face10k_v3,train,1
20260705_000542_AGDKXS,face10k_v3,train,4
20260705_001301_EQTAAV,face10k_v3,train,16
20260705_003243_DRUMYF,face10k_v3,train,2
20260705_003547_APFXEX,face10k_v3,train,2
20260705_003605_GYSTJM,face10k_v3,train,1
20260705_005914_WHQZKJ,face10k_v3,train,1
20260705_033116_MYSUXZ,face10k_v3,train,53
20260705_041801_ENMKVJ,face10k_v3,train,13
20260705_042929_MACEJR,face10k_v3,train,16
20260705_052105_BEXWVB,face10k_v3,train,3
20260705_053737_KXPGZC,face10k_v3,train,4
20260705_093059_BWBVQM,face10k_v3,train,1
20260706_012617_XGHKZL,face10k_v3,train,2
20260706_024401_ESDQFV,face10k_v3,train,60
20260706_035555_WBRVUH,face10k_v3,train,29
20260706_063834_BAHTNA,face10k_v3,train,60
20260706_082936_YHAEWU,face10k_v3,train,60
20260707_020619_YGYHVJ,face10k_v3,train,3
20260707_021119_EBLWKH,face10k_v3,train,1
20260707_031511_TQBWCX,face10k_v3,train,43
20260707_065459_MGAWTV,face10k_v3,train,60
20260707_070332_LNHPNZ,face10k_v3,train,2
20260707_070907_KQSVQC,face10k_v3,train,60
20260707_105540_YSVQEJ,face10k_v3,train,60
20260707_113255_RDJKJH,face10k_v3,train,59
20260709_021525_WESKWK,face10k_v3,train,60
20260709_032250_ZPECPQ,face10k_v3,train,54
20260717_133718_YXVXCK,face10k_v3,train,2
20260718_070305_JDSSLG,face10k_v3,train,15
20260719_004651_GTGSFL,face10k_v3,train,17
20260719_005056_VNLEJG,face10k_v3,train,8
20260719_055944_KVADRX,face10k_v3,train,60
20260719_061852_HVPETV,face10k_v3,train,53
20260719_073558_WFYGMS,face10k_v3,train,3
20260719_111540_SFTZPH,face10k_v3,train,3
20260721_074008_ASUJRU,face10k_v3,train,5
20260721_113536_RGLGAP,face10k_v3,train,2
20260721_114038_NBUBWQ,face10k_v3,train,1
20260722_073631_TCQYKP,face10k_v3,train,10
20260723_084933_EUCEJH,face10k_v3,train,1
20260723_113530_JZRRLA,face10k_v3,train,4
20260725_003916_HSAZBM,face10k_v3,train,7
20260725_004430_GSQYHT,face10k_v3,train,60
20260725_053246_LPFRHX,face10k_v3,train,1
20260725_061406_XPUQEL,face10k_v3,train,2
20260725_061806_SATUQQ,face10k_v3,train,1
20260616_010704_GMTYRC,face10k_v3_repair,train,153
20260616_053611_AANSAG,face10k_v3_repair,train,22
20260616_060031_VKJSJC,face10k_v3_repair,train,7
20260616_060320_GYKZXU,face10k_v3_repair,train,15
20260617_004648_XJRTVQ,face10k_v3_repair,train,117
20260623_054943_KAMYUT,face10k_v3_repair,train,2
20260628_053521_ZNSDHD,face10k_v3_repair,train,9
20260702_001139_XRXWRX,face10k_v3_repair,train,198
20260703_005139_VEBJUY,face10k_v3_repair,train,112
20260704_002023_RKWCSZ,face10k_v3_repair,train,154
20260705_063651_FZTJPK,face10k_v3_repair,train,179
20260705_102552_FLFCFA,face10k_v3_repair,train,25
20260707_053606_PWYWFX,face10k_v3_repair,train,191
20260709_053256_QSJMDU,face10k_v3_repair,train,79
20260709_084335_TYCPQN,face10k_v3_repair,train,35
20260710_081124_BFPKMU,face10k_v3_repair,train,17
20260714_054105_YWEEDD,face10k_v3_repair,train,102
20260714_070036_KXNFLT,face10k_v3_repair,train,275
20260715_003829_QUGZXQ,face10k_v3_repair,train,94
20260715_050301_RLHFBH,face10k_v3_repair,train,371
20260721_055856_QVDFYG,face10k_v3_repair,train,59
20260722_055234_LZJGJP,face10k_v3_repair,train,183
20260723_073355_UCGZEA,face10k_v3_repair,train,29
20260724_024551_YQCCLB,face10k_v3_repair,train,2
20260724_025912_LYCKFT,face10k_v3_repair,train,328
20260724_053432_RSWJAK,face10k_v3_repair,train,43
20260725_050843_BDVHSQ,face10k_v3_repair,train,259
20260725_055005_MPCWWA,face10k_v3_repair,train,108
20260416_061151_TUZKZT,face_mine_v1,eval,1
20260417_032135_YRFJZY,face_mine_v1,eval,1
20260417_080627_RTYMEH,face_mine_v1,eval,6
20260417_082602_VVHYNB,face_mine_v1,eval,3
20260421_082931_GMBKXS,face_mine_v1,eval,3
20260421_091056_PWJPDQ,face_mine_v1,eval,1
20260422_090858_TVELVZ,face_mine_v1,eval,12
20260422_110607_TLLUKG,face_mine_v1,eval,1
20260423_003016_CNGWDY,face_mine_v1,eval,7
20260423_014918_TNXXGX,face_mine_v1,eval,6
20260423_030511_AUHLDL,face_mine_v1,eval,4
20260423_034355_KESSJY,face_mine_v1,eval,12
20260423_040823_DLXHHK,face_mine_v1,eval,3
20260423_060054_EXRVZN,face_mine_v1,eval,2
20260423_071209_VDKUMM,face_mine_v1,eval,1
20260423_082201_YZWRJE,face_mine_v1,eval,3
20260513_220016_BAPWVW,face_mine_v1,eval,2
20260514_051341_KYESBL,face_mine_v1,eval,2
20260515_005609_NKSHBS,face_mine_v1,eval,12
20260516_003022_EBTKMS,face_mine_v1,eval,12
20260517_011024_LELYMX,face_mine_v1,eval,1
20260518_085155_UMKWYF,face_mine_v1,eval,4
20260518_100712_RPDKFR,face_mine_v1,eval,2
20260518_114045_CNDFDT,face_mine_v1,eval,1
20260519_002857_VRMTCT,face_mine_v1,eval,1
20260519_005515_ZXEDQM,face_mine_v1,eval,12
20260519_005722_GPPSKP,face_mine_v1,eval,1
20260519_010640_RPTJUH,face_mine_v1,eval,1
20260519_011044_YDRKBH,face_mine_v1,eval,12
20260519_014504_LFZKFM,face_mine_v1,eval,12
20260519_021638_FJHAKX,face_mine_v1,eval,4
20260519_022049_VYYPTJ,face_mine_v1,eval,12
20260519_025750_NDDHXW,face_mine_v1,eval,2
20260519_030917_BBFQUW,face_mine_v1,eval,2
20260519_044636_GSCHTF,face_mine_v1,eval,3
20260519_072457_GQZQGK,face_mine_v1,eval,2
20260519_081404_PRPNVY,face_mine_v1,eval,12
20260519_085458_ALVHZK,face_mine_v1,eval,11
20260519_090923_PCYQXL,face_mine_v1,eval,12
20260519_093307_SFTRWF,face_mine_v1,eval,8
20260519_103016_XCSFJG,face_mine_v1,eval,2
20260519_142526_DLRFNE,face_mine_v1,eval,1
20260519_144452_SZQEBW,face_mine_v1,eval,2
20260519_161839_RALQAQ,face_mine_v1,eval,7
20260519_161930_LYYXSE,face_mine_v1,eval,1
20260519_163654_UBZZWD,face_mine_v1,eval,2
20260519_164537_WNMTMN,face_mine_v1,eval,1
20260519_185035_CSBXJM,face_mine_v1,eval,2
20260519_191134_AAGKXB,face_mine_v1,eval,6
20260519_193943_LPGTAT,face_mine_v1,eval,1
20260520_004023_VKUMWL,face_mine_v1,eval,12
20260520_051626_VEHNJA,face_mine_v1,eval,12
20260520_054014_CWESUS,face_mine_v1,eval,4
20260520_083314_ANWAJD,face_mine_v1,eval,12
20260521_012812_LAXYRB,face_mine_v1,eval,11
20260521_023119_ZJBENJ,face_mine_v1,eval,12
20260521_032044_CKDLBR,face_mine_v1,eval,12
20260521_051740_WRLAFJ,face_mine_v1,eval,12
20260521_051957_XFTWWN,face_mine_v1,eval,12
20260521_052200_NGTEDF,face_mine_v1,eval,12
20260521_074440_BAVXED,face_mine_v1,eval,11
20260521_083015_CZPGRC,face_mine_v1,eval,12
20260521_083146_NEQXVF,face_mine_v1,eval,2
20260521_084612_SVLUKX,face_mine_v1,eval,11
20260521_203430_KCDGWA,face_mine_v1,eval,5
20260522_003429_LYEVSC,face_mine_v1,eval,12
20260522_003904_ZGMRGC,face_mine_v1,eval,11
20260522_023813_HXCJGN,face_mine_v1,eval,10
20260522_030745_EJJXXX,face_mine_v1,eval,10
20260522_052642_VKNTVX,face_mine_v1,eval,2
20260522_052734_PFLPUG,face_mine_v1,eval,12
20260522_060245_RCGZHC,face_mine_v1,eval,12
20260522_063430_LSPRFG,face_mine_v1,eval,11
20260523_052759_YLDKDM,face_mine_v1,eval,12
20260523_052934_JVVWWG,face_mine_v1,eval,11
20260523_062947_KHBMPN,face_mine_v1,eval,10
20260523_072614_YYWSCV,face_mine_v1,eval,1
20260523_072727_KXSDEC,face_mine_v1,eval,3
20260523_073052_KTNLXB,face_mine_v1,eval,2
20260523_073608_TZXAEH,face_mine_v1,eval,4
20260523_073729_TXDZKT,face_mine_v1,eval,1
20260523_080150_MWLPBK,face_mine_v1,eval,3
20260523_080614_MEQNWE,face_mine_v1,eval,3
20260523_081513_LAAPQW,face_mine_v1,eval,11
20260523_083528_MFZMGG,face_mine_v1,eval,12
20260523_084918_PWWDSU,face_mine_v1,eval,9
20260523_091201_UDTZEF,face_mine_v1,eval,3
20260523_171114_YNJSJM,face_mine_v1,eval,5
20260524_014143_FCEBER,face_mine_v1,eval,12
20260524_030044_RJLYAK,face_mine_v1,eval,12
20260524_052803_SDJCKG,face_mine_v1,eval,12
20260524_053053_QXTQBV,face_mine_v1,eval,12
20260525_003405_TCUHYG,face_mine_v1,eval,12
20260525_004906_FPLGXE,face_mine_v1,eval,12
20260525_022157_EJZVDW,face_mine_v1,eval,3
20260525_032226_JUKAAJ,face_mine_v1,eval,12
20260525_052731_SWKRMJ,face_mine_v1,eval,12
20260525_053145_AYWJTS,face_mine_v1,eval,10
20260525_072944_UHEDTF,face_mine_v1,eval,12
20260525_080122_DAZLUM,face_mine_v1,eval,4
20260525_081528_SLABXF,face_mine_v1,eval,12
20260525_082454_QCQSHG,face_mine_v1,eval,12
20260525_140440_SLVEMS,face_mine_v1,eval,2
20260525_145736_NWNESN,face_mine_v1,eval,6
20260526_003359_GZTHWD,face_mine_v1,eval,12
20260526_003903_VHKAAR,face_mine_v1,eval,12
20260526_005550_XLDHNW,face_mine_v1,eval,10
20260526_010124_NXRHPT,face_mine_v1,eval,12
20260526_011142_BCXDXZ,face_mine_v1,eval,12
20260526_012411_BZTJNX,face_mine_v1,eval,12
20260526_014621_CJJHAG,face_mine_v1,eval,12
20260526_025314_QCMLCY,face_mine_v1,eval,12
20260526_032131_LJGGVZ,face_mine_v1,eval,12
20260526_051835_GZRSWD,face_mine_v1,eval,11
20260526_081052_CHWFXB,face_mine_v1,eval,12
20260526_084023_NKSBPX,face_mine_v1,eval,2
20260526_092835_DTDNAU,face_mine_v1,eval,2
20260526_105213_HKDUXC,face_mine_v1,eval,5
20260527_004318_SWUTQB,face_mine_v1,eval,12
20260527_022821_JXYRVT,face_mine_v1,eval,11
20260527_030712_EBWCWL,face_mine_v1,eval,12
20260527_051815_PTWRTC,face_mine_v1,eval,12
20260527_052353_MXYZCP,face_mine_v1,eval,12
20260527_052940_UCNFDX,face_mine_v1,eval,12
20260527_053705_TWEJLB,face_mine_v1,eval,12
20260527_060206_JBAUJM,face_mine_v1,eval,4
20260527_060208_PRHHFE,face_mine_v1,eval,1
20260527_060238_KSALUB,face_mine_v1,eval,4
20260527_062350_TLKEJG,face_mine_v1,eval,12
20260527_065523_QTCCXG,face_mine_v1,eval,12
20260527_070013_SRRJGP,face_mine_v1,eval,12
20260527_071745_JHLNDH,face_mine_v1,eval,12
20260527_073101_GJKGCR,face_mine_v1,eval,12
20260527_075423_QLTRWS,face_mine_v1,eval,6
20260527_081205_TJNHJZ,face_mine_v1,eval,12
20260527_081725_TNKNFB,face_mine_v1,eval,12
20260527_081906_GBSENQ,face_mine_v1,eval,12
20260527_082014_EPSMZC,face_mine_v1,eval,12
20260527_082333_PLJATL,face_mine_v1,eval,2
20260527_190502_RNUCAW,face_mine_v1,eval,1
20260527_214328_AXGZQA,face_mine_v1,eval,12
20260528_004823_MGBZXL,face_mine_v1,eval,12
20260528_005340_GEPQRR,face_mine_v1,eval,12
20260528_005520_MPCDHV,face_mine_v1,eval,12
20260528_023450_GFDGWQ,face_mine_v1,eval,1
20260528_190557_BMTXDT,face_mine_v1,eval,2
20260529_130739_NDHMAW,face_mine_v1,eval,12
20260529_142027_NJLDSU,face_mine_v1,eval,1
20260529_182925_FWBAGR,face_mine_v1,eval,3
20260529_193444_TPJSXZ,face_mine_v1,eval,1
20260529_223935_QTQNSQ,face_mine_v1,eval,3
20260529_235223_TAHLSR,face_mine_v1,eval,12
20260530_072029_BCYUKY,face_mine_v1,eval,12
20260530_074755_HGQXNB,face_mine_v1,eval,9
20260530_075520_HUZHRX,face_mine_v1,eval,5
20260530_081251_FPENMG,face_mine_v1,eval,1
20260530_093402_RGHFZN,face_mine_v1,eval,12
20260531_014825_BCMGWH,face_mine_v1,eval,1
20260531_020222_NPYGHH,face_mine_v1,eval,1
20260531_023037_URSSWX,face_mine_v1,eval,1
20260531_031201_UBAHNQ,face_mine_v1,eval,1
20260531_045624_KPWWRG,face_mine_v1,eval,12
20260531_050933_NUFQVC,face_mine_v1,eval,12
20260531_065705_DQJYVU,face_mine_v1,eval,12
20260531_082003_ZJPHKU,face_mine_v1,eval,12
20260531_172639_HBEFAU,face_mine_v1,eval,12
20260531_202009_DLDKLN,face_mine_v1,eval,12
20260601_045140_PMSYHN,face_mine_v1,eval,3
20260601_085836_HPKBHQ,face_mine_v1,eval,12
20260602_101725_RJSRXG,face_mine_v1,eval,12
20260603_043537_PWBTBJ,face_mine_v1,eval,12
20260603_050251_NBHVQV,face_mine_v1,eval,12
20260603_052701_TASCPL,face_mine_v1,eval,12
20260603_052852_KSDFVH,face_mine_v1,eval,12
20260603_053233_HCKAPH,face_mine_v1,eval,12
20260603_054052_ECAKHH,face_mine_v1,eval,6
20260603_054433_HBKHBP,face_mine_v1,eval,12
20260603_055132_DRXHYN,face_mine_v1,eval,12
